List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
"$19,750.00",4627 FRIDEN DR,JACKSONVILLE,2 Bed/1(0),688,20,"$17,500.00",08/23/19
"$22,900.00",4243 SCOTT AVE,FORT MYERS,5 Bed/2(0),"1,784",1,"$20,000.00",07/02/19
"$24,900.00",1126 GAMBLE ST NW,MOORE HAVEN,3 Bed/1(1),972,11,"$24,900.00",12/30/19
"$29,950.00",2777 INDIANWOOD DR,NORTH FORT MYERS,2 Bed/2(0),"1,152",3,"$25,000.00",06/28/19
"$24,900.00",3058 LINCOLN BLVD,FORT MYERS,3 Bed/1(0),"1,100",2,"$27,000.00",10/31/19
"$26,000.00",840 KISSIMMEE AVE,LABELLE,3 Bed/1(0),912,29,"$28,051.00",09/10/19
"$45,000.00",1106 ROSE AVE,FORT MYERS,2 Bed/1(0),936,1,"$35,000.00",12/23/19
"$40,000.00",3242 C ST,FORT MYERS,3 Bed/1(0),"1,215",6,"$35,000.00",12/06/19
"$39,900.00",537 STATE ST,NORTH FORT MYERS,2 Bed/1(0),958,2,"$37,500.00",09/13/19
"$39,900.00",742 MARSH AVE,FORT MYERS,2 Bed/1(0),924,15,"$39,000.00",08/30/19
"$50,000.00",3240 DALE ST,FORT MYERS,3 Bed/2(0),984,2,"$40,000.00",12/20/19
"$39,900.00",3217 11TH ST SW,LEHIGH ACRES,2 Bed/1(0),864,9,"$40,000.00",11/13/19
"$49,900.00",23210 AVENUE B,ALVA,2 Bed/1(0),912,11,"$42,000.00",10/01/19
"$45,000.00",2042 14TH ST S,ST. PETERSBURG,3 Bed/1(0),858,3,"$46,100.00",11/01/19
"$45,000.00",1401 NW 2ND ST,CAPE CORAL,5 Bed/3(0),"2,594",1,"$47,000.00",10/16/19
"$70,000.00",114 LUCILLE AVE,FORT MYERS,3 Bed/1(0),"1,156",2,"$50,000.00",10/24/19
"$100,000.00",112 ROWLAND RD,LEHIGH ACRES,2 Bed/2(0),"1,122",36,"$50,000.00",10/03/19
"$55,000.00",401 AVENUE S SW,MOORE HAVEN,2 Bed/2(0),"1,442",60,"$50,000.00",10/23/19
"$50,000.00",1802 E COMANCHE ST,TAMPA,2 Bed/1(0),752,3,"$50,000.00",11/01/19
"$55,000.00",1706 STARNES AVE,FORT MYERS,3 Bed/1(0),"1,094",18,"$50,109.00",07/15/19
"$33,300.00",1102 VIRGINIA AVE,CLEWISTON,3 Bed/2(0),"1,598",16,"$51,000.00",10/30/19
"$69,900.00",522 CAROLINA AVE,FORT MYERS,2 Bed/1(0),"1,264",0,"$52,500.00",11/12/19
"$55,900.00",2926 CENTRAL AVE,FORT MYERS,2 Bed/1(0),884,1,"$53,000.00",12/13/19
"$55,000.00",3218 C ST,FORT MYERS,2 Bed/1(0),696,33,"$55,000.00",09/20/19
"$54,900.00",1040 WALLEN ST,LABELLE,2 Bed/1(0),"1,496",8,"$57,000.00",09/12/19
"$75,000.00",4015 RAINBOW CIR,LABELLE,3 Bed/2(0),"1,176",17,"$58,800.00",10/30/19
"$99,000.00",4106 22ND ST SW,LEHIGH ACRES,2 Bed/1(0),"1,056",37,"$63,000.00",12/20/19
"$59,000.00",424 JONES ST,IMMOKALEE,2 Bed/1(0),"1,120",11,"$63,500.00",06/27/19
"$69,900.00",3730 HIGHLAND AVE,FORT MYERS,3 Bed/1(0),936,1,"$65,000.00",11/22/19
"$69,999.00",608 ADAMS AVE,FORT MYERS,2 Bed/1(0),"1,000",13,"$65,000.00",10/25/19
"$65,000.00",841 FORDSON AVE,LABELLE,3 Bed/3(0),"1,849",23,"$65,000.00",09/27/19
"$57,500.00",1684 SE TANGELO DR,ARCADIA,3 Bed/2(0),"1,448",16,"$65,207.00",10/30/19
"$77,000.00",5413 MARINER BLVD,SPRING HILL,2 Bed/2(0),"1,036",16,"$66,000.00",11/01/19
"$94,000.00",3605 40TH ST SW,LEHIGH ACRES,4 Bed/2(0),"1,152",65,"$67,000.00",12/23/19
"$79,000.00",506 YORK RD,LEHIGH ACRES,2 Bed/1(0),997,16,"$67,500.00",12/19/19
"$59,900.00",4110 7TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,130",10,"$68,000.00",10/18/19
"$79,900.00",3319 7TH ST SW,LEHIGH ACRES,3 Bed/1(0),972,25,"$69,000.00",11/22/19
"$108,000.00",309 DARTMOUTH AVE,LEHIGH ACRES,2 Bed/2(0),"1,198",118,"$70,000.00",11/22/19
"$74,900.00",283 GRANADA BLVD,FORT MYERS,3 Bed/1(0),"1,020",35,"$71,000.00",12/10/19
"$85,000.00",2008 ANCHOR LN,LABELLE,3 Bed/1(0),"1,660",6,"$73,000.00",12/17/19
"$79,000.00",3802 3RD ST W,LEHIGH ACRES,2 Bed/1(0),868,69,"$73,000.00",11/26/19
"$115,000.00",1735 HANSON ST,FORT MYERS,3 Bed/1(0),"1,667",2,"$75,000.00",10/09/19
"$69,900.00",400 OREGON RD W,LEHIGH ACRES,3 Bed/2(0),"1,411",46,"$75,000.00",08/19/19
"$84,900.00",17 VINEYARD ST,LEHIGH ACRES,1 Bed/1(0),645,28,"$77,000.00",08/28/19
"$84,900.00",3741 HIGHLAND AVE,FORT MYERS,3+Den/1(0),"1,144",3,"$78,000.00",12/06/19
"$84,500.00",537 SACRAMENTO ST,NORTH FORT MYERS,3 Bed/1(0),920,6,"$78,500.00",11/21/19
"$100,000.00",52 CABANA AVE,NORTH FORT MYERS,2 Bed/1(0),572,15,"$79,000.00",12/16/19
"$80,000.00",3019 SECOND ST,FORT MYERS,2 Bed/1(0),768,27,"$80,000.00",10/11/19
"$85,500.00",942 HYACINTH ST,NORTH FORT MYERS,3 Bed/2(0),920,14,"$80,000.00",09/06/19
"$100,000.00",36 WESTMINSTER ST N,LEHIGH ACRES,2 Bed/2(0),"1,022",78,"$82,400.00",11/28/19
"$95,000.00",2307 UNITY AVE,FORT MYERS,1 Bed/1(0),624,30,"$84,000.00",12/09/19
"$90,000.00",316 S SAN BENITO ST,CLEWISTON,3+Den/3(0),"1,032",26,"$84,500.00",07/19/19
"$95,900.00",184 KARLOW AVE #0,LEHIGH ACRES,2 Bed/2(0),"1,056",6,"$84,900.00",10/17/19
"$85,000.00",1450 PARK SHORE CIR #3,FORT MYERS,3 Bed/2(1),"1,680",0,"$85,000.00",11/15/19
"$87,500.00",4349 BALLARD RD,FORT MYERS,3 Bed/1(1),"1,040",3,"$85,000.00",10/15/19
"$114,900.00",2311 CARRELL RD,FORT MYERS,3 Bed/1(1),"1,050",13,"$85,000.00",11/08/19
"$87,000.00",2344 SOUTH ST,FORT MYERS,3 Bed/1(0),884,31,"$85,000.00",09/16/19
"$90,000.00",3802 SEMINOLE AVE,FORT MYERS,3 Bed/1(1),962,15,"$85,000.00",07/26/19
"$88,500.00",2003 SCHOONER DR,LABELLE,2 Bed/1(0),804,41,"$85,000.00",12/19/19
"$89,900.00",971 SUWANEE AVE,LABELLE,2 Bed/1(0),720,31,"$85,000.00",10/02/19
"$89,900.00",105 STETSON ST,LEHIGH ACRES,2+Den/1(1),"1,257",12,"$85,000.00",11/20/19
"$99,800.00",109 TRUMAN AVE,LEHIGH ACRES,3 Bed/2(0),"1,329",23,"$85,000.00",11/12/19
"$94,500.00",101 ALABAMA RD S,LEHIGH ACRES,3 Bed/1(0),920,69,"$85,000.00",09/20/19
"$99,900.00",521 CORTEZ AVE,LEHIGH ACRES,2 Bed/1(1),"1,197",34,"$85,000.00",10/15/19
"$89,000.00",2254 8TH TER,LEHIGH ACRES,1 Bed/1(0),600,40,"$86,000.00",09/30/19
"$86,900.00",122 STETSON ST,LEHIGH ACRES,2 Bed/1(0),675,5,"$86,900.00",07/29/19
"$90,000.00",3555 CENTRAL AVE,FORT MYERS,2 Bed/1(0),893,121,"$88,000.00",12/31/19
"$100,000.00",306 LAKE AVE,LEHIGH ACRES,2 Bed/2(0),"1,494",12,"$89,000.00",10/25/19
"$99,000.00",5474 AVENUE E,BOKEELIA,3 Bed/2(0),"1,288",157,"$90,000.00",12/11/19
"$140,000.00",1195 CHOKOLOSKEE DR,CHOKOLOSKEE,3+Den/3(0),"1,999",30,"$90,000.00",10/22/19
"$109,900.00",4381 LAGG AVE,FORT MYERS,2 Bed/1(0),800,1,"$90,000.00",10/11/19
"$99,900.00",5624 4TH AVE,FORT MYERS,2 Bed/1(0),832,34,"$90,000.00",11/15/19
"$102,900.00",1441 GARDENIA AVE,FORT MYERS,3 Bed/2(0),"1,002",4,"$90,000.00",09/05/19
"$101,200.00",209 E PENN RD,LEHIGH ACRES,4 Bed/3(0),"1,460",69,"$90,068.00",11/12/19
"$90,000.00",2039 MAPLE AVE,FORT MYERS,2 Bed/1(0),960,16,"$90,100.00",09/20/19
"$129,900.00",5109 QUAIL ROOST RD,IMMOKALEE,4 Bed/2(0),"1,800",44,"$92,000.00",12/04/19
"$99,900.00",3700 26TH ST SW,LEHIGH ACRES,2 Bed/1(0),640,0,"$92,000.00",08/26/19
"$99,500.00",3516 33RD ST SW,LEHIGH ACRES,2 Bed/1(0),640,88,"$92,000.00",10/04/19
"$93,000.00",4526 KENNEDY DR,NEW PORT RICHEY,2 Bed/1(0),966,11,"$92,000.00",08/15/19
"$92,500.00",2565 HANSON ST,FORT MYERS,2 Bed/2(0),"1,036",106,"$92,500.00",11/21/19
"$105,000.00",102 CRESCENT LAKE DR,NORTH FORT MYERS,2 Bed/1(0),"1,171",45,"$93,000.00",11/01/19
"$98,989.00",4205 1ST ST SW,LEHIGH ACRES,3 Bed/2(0),912,5,"$94,000.00",08/01/19
"$99,500.00",3436 DORA ST,FORT MYERS,3 Bed/2(0),"1,231",46,"$95,000.00",11/19/19
"$104,900.00",1777 ELAN CT,FORT MYERS,3 Bed/2(0),"1,100",17,"$95,000.00",07/26/19
"$118,000.00",316 CANYON DR N,LEHIGH ACRES,2 Bed/1(0),895,5,"$95,000.00",11/08/19
"$99,999.00",113 ANDROS ST,LEHIGH ACRES,3 Bed/1(0),"1,100",40,"$95,000.00",09/16/19
"$98,500.00",1104 E JASMINE RD,LEHIGH ACRES,2 Bed/1(0),"1,069",60,"$95,500.00",12/13/19
"$105,000.00",120 PALM TREE LN,FORT MYERS,2 Bed/2(0),"1,447",26,"$96,000.00",10/30/19
"$96,900.00",202 ALABAMA CT,LEHIGH ACRES,3 Bed/1(0),"1,231",3,"$96,900.00",10/09/19
"$99,900.00",3316 ARMSTRONG CT,FORT MYERS,3 Bed/1(0),968,120,"$97,000.00",11/27/19
"$99,900.00",304 WHITTIER AVE,NORTH FORT MYERS,3 Bed/1(0),900,41,"$97,000.00",08/13/19
"$98,500.00",3801 8TH ST SW,LEHIGH ACRES,3 Bed/1(0),800,5,"$98,000.00",09/16/19
"$119,900.00",4201 27TH ST SW,LEHIGH ACRES,2 Bed/1(0),640,85,"$99,000.00",12/05/19
"$110,000.00",3811 RICHARD RD,NORTH FORT MYERS,3 Bed/2(0),"1,050",58,"$99,000.00",10/24/19
"$105,000.00",525 MANATEE CT #15,VENICE,1 Bed/1(0),576,67,"$99,000.00",09/30/19
"$99,900.00",4988 SHERRY ST,FORT MYERS,3 Bed/2(0),"1,040",3,"$99,900.00",08/14/19
"$100,000.00",13823 HAMLIN AVE,CLEWISTON,3 Bed/2(0),"1,580",53,"$101,000.00",10/25/19
"$105,000.00",1007 JOEL BLVD,LEHIGH ACRES,3 Bed/1(0),"1,354",15,"$101,500.00",10/31/19
"$115,000.00",2415 KENNESAW ST,FORT MYERS,3 Bed/2(0),"1,014",34,"$103,000.00",08/13/19
"$103,900.00",15868 WILLOUGHBY LN,FORT MYERS,3 Bed/2(0),988,6,"$103,500.00",12/04/19
"$119,900.00",1306 NE 7TH AVE,CAPE CORAL,3 Bed/2(0),"1,176",17,"$104,000.00",10/25/19
"$104,000.00",4749 NOTTINGHAM DR,FORT MYERS,3 Bed/1(0),"1,025",20,"$104,000.00",11/08/19
"$114,900.00",16981 1ST ST,ALVA,3 Bed/2(0),"1,113",6,"$105,000.00",07/23/19
"$105,000.00",180 N FRONDA ST,CLEWISTON,4 Bed/2(0),"1,560",148,"$105,000.00",12/13/19
"$115,000.00",3702 MADISON AVE,FORT MYERS,4 Bed/2(0),972,7,"$105,000.00",11/06/19
"$120,000.00",304 KINGSTON DR,FORT MYERS,3 Bed/1(0),856,39,"$105,000.00",09/20/19
"$119,900.00",411 CORTEZ AVE,LEHIGH ACRES,3 Bed/2(0),"2,082",1,"$105,000.00",12/23/19
"$106,500.00",313 RUSHMORE AVE N,LEHIGH ACRES,2 Bed/1(0),920,36,"$105,000.00",12/05/19
"$111,900.00",957 PILGRIM ST E,LEHIGH ACRES,3 Bed/1(0),948,55,"$105,000.00",11/01/19
"$119,900.00",174 MARILLO LN,NORTH FORT MYERS,3 Bed/2(0),"1,562",4,"$105,000.00",11/15/19
"$104,900.00",2249 DORA ST,FORT MYERS,3+Den/1(0),"1,346",10,"$106,000.00",12/16/19
"$115,000.00",3919 LUVERNE ST,FORT MYERS,2 Bed/1(0),892,32,"$106,000.00",11/18/19
"$122,500.00",257 E YEOMANS AVE,LABELLE,3 Bed/1(0),"1,125",136,"$106,000.00",11/21/19
"$119,900.00",4038 RAINBOW CIR,LABELLE,3+Den/2(0),"1,377",5,"$107,000.00",07/03/19
"$125,000.00",279 GROUND DOVE CIR,LEHIGH ACRES,3 Bed/2(0),"1,386",52,"$107,500.00",12/18/19
"$100,000.00",3504 SE 3RD PL,CAPE CORAL,2 Bed/2(0),"1,342",25,"$107,625.00",10/29/19
"$129,000.00",2247 ALTAMONT AVE,FORT MYERS,2 Bed/1(0),796,37,"$108,000.00",11/11/19
"$123,000.00",11049 WATERFORD AVE,ENGLEWOOD,2 Bed/2(0),"1,170",17,"$109,200.00",08/13/19
"$117,490.00",7 CONNECTICUT RD,LEHIGH ACRES,3 Bed/2(0),"1,344",30,"$109,900.00",11/08/19
"$115,000.00",3122 47TH ST SW,LEHIGH ACRES,2 Bed/1(0),768,15,"$109,900.00",10/15/19
"$109,900.00",903 HUDSON AVE,LEHIGH ACRES,2 Bed/1(0),860,16,"$109,900.00",08/14/19
"$129,500.00",627 VERONICA S SHOEMAKER BLVD,FORT MYERS,2 Bed/1(0),"1,022",20,"$110,000.00",12/23/19
"$114,900.00",1341 GARDENIA AVE,FORT MYERS,3 Bed/2(0),"1,002",60,"$110,000.00",12/25/19
"$122,900.00",2730 LAKEVIEW DR,FORT MYERS,3 Bed/2(0),"1,940",35,"$110,000.00",08/30/19
"$112,500.00",128 COOLIDGE AVE,LEHIGH ACRES,2 Bed/1(0),"1,069",2,"$110,000.00",12/31/19
"$110,000.00",404 OREGON RD W,LEHIGH ACRES,2 Bed/2(0),"1,549",6,"$110,000.00",12/05/19
"$119,000.00",3108 7TH ST SW,LEHIGH ACRES,3 Bed/2(0),984,7,"$110,000.00",10/18/19
"$119,900.00",301 E PENN RD,LEHIGH ACRES,3 Bed/2(0),"1,357",16,"$110,000.00",11/20/19
"$119,900.00",134 AURORA AVE S,LEHIGH ACRES,3 Bed/2(0),"1,053",21,"$110,000.00",11/01/19
"$114,900.00",2244 CARNABY CT,LEHIGH ACRES,2 Bed/2(0),"1,299",75,"$110,000.00",11/14/19
"$116,000.00",338 HAZELWOOD AVE S,LEHIGH ACRES,2 Bed/1(0),997,30,"$110,000.00",09/06/19
"$119,900.00",327 FLEETWOOD AVE,LEHIGH ACRES,2 Bed/1(1),"1,072",65,"$110,000.00",09/02/19
"$125,000.00",307 LAKEVIEW DR,NORTH FORT MYERS,3 Bed/1(1),"1,040",13,"$110,000.00",12/19/19
"$119,000.00",1179 EBERS ST E,LEHIGH ACRES,3 Bed/1(0),"1,294",2,"$110,700.00",10/16/19
"$119,900.00",2230 FRANKLIN ST,FORT MYERS,3 Bed/2(0),"1,402",11,"$111,200.00",12/31/19
"$115,000.00",406 PENN RD W,LEHIGH ACRES,2 Bed/1(0),792,0,"$112,000.00",11/15/19
"$117,900.00",4302 3RD ST SW,LEHIGH ACRES,2 Bed/1(0),800,23,"$112,000.00",09/13/19
"$120,000.00",528 THOMAS AVE,FORT MYERS,3 Bed/1(0),"1,136",2,"$113,000.00",07/30/19
"$116,900.00",502 BOUGAINVILLEA RD W,LEHIGH ACRES,3 Bed/1(0),"1,092",54,"$113,400.00",09/23/19
"$116,900.00",23 ANDORA ST E,LEHIGH ACRES,2 Bed/1(0),"1,217",4,"$113,500.00",09/27/19
"$140,000.00",1257 EDMUND ST E,LEHIGH ACRES,4 Bed/2(1),"2,766",14,"$114,000.00",08/07/19
"$117,500.00",100 MURRAY CT NW,LAKE PLACID,3 Bed/2(0),"2,545",49,"$114,500.00",12/19/19
"$114,900.00",1103 E BOUGAINVILLEA RD,LEHIGH ACRES,3 Bed/2(0),"1,113",7,"$114,900.00",10/10/19
"$132,800.00",6049 STRATTON RD,FORT MYERS,3 Bed/2(0),"1,490",37,"$115,000.00",11/06/19
"$124,900.00",5224 PREVATT LN S,FORT MYERS,2 Bed/1(0),"1,008",20,"$115,000.00",09/09/19
"$125,000.00",1506 CANAL ST,LEHIGH ACRES,2+Den/2(0),"1,400",4,"$115,000.00",11/18/19
"$117,900.00",420 CANYON DR S,LEHIGH ACRES,2 Bed/1(1),851,65,"$115,000.00",10/31/19
"$155,000.00",2916 22ND ST SW,LEHIGH ACRES,3 Bed/2(0),"1,138",97,"$115,000.00",12/30/19
"$115,000.00",902 MONET ST,LEHIGH ACRES,3 Bed/1(0),"1,208",61,"$115,000.00",12/18/19
"$115,000.00",8055 TOLLES DR,NORTH FORT MYERS,4 Bed/1(0),"1,224",6,"$115,000.00",11/21/19
"$125,000.00",226 CRESCENT LAKE DR,NORTH FORT MYERS,3 Bed/2(0),"1,232",131,"$115,000.00",12/06/19
"$114,900.00",825 N WILLOW ST,CLEWISTON,3 Bed/2(0),"1,534",13,"$117,000.00",10/23/19
"$119,900.00",405 E CLEVELAND LN,LEHIGH ACRES,3 Bed/2(0),"1,064",2,"$117,500.00",09/09/19
"$114,900.00",3205 E 5TH ST,LEHIGH ACRES,2 Bed/2(0),"1,001",16,"$117,900.00",09/30/19
"$119,000.00",3750 MINNESOTA DR,FORT MYERS,3 Bed/1(0),"1,144",68,"$118,000.00",09/30/19
"$119,900.00",106 APACHE ST,LEHIGH ACRES,2 Bed/2(0),920,5,"$118,000.00",11/08/19
"$130,000.00",11 JASMINE RD W,LEHIGH ACRES,2 Bed/1(0),"1,070",97,"$118,000.00",12/03/19
"$119,700.00",5299 MALAMIN RD,NORTH PORT,2 Bed/2(0),942,6,"$118,700.00",12/31/19
"$119,900.00",1506 55TH AVE W,BRADENTON,2 Bed/1(0),"1,062",29,"$119,000.00",08/23/19
"$124,900.00",730 CAMELLIA DR,NORTH FORT MYERS,3 Bed/1(0),"1,012",6,"$119,000.00",10/15/19
"$125,000.00",26291 SHERWOOD LN,BONITA SPRINGS,2 Bed/1(0),800,2,"$120,000.00",07/22/19
"$120,000.00",413 MUSKEGON AVE,FORT MYERS,3 Bed/2(0),"1,100",7,"$120,000.00",11/13/19
"$135,000.00",1779 BRICKROAD CT,FORT MYERS,4 Bed/2(1),"1,794",33,"$120,000.00",10/25/19
"$149,000.00",1660 KENSINGTON CT,FORT MYERS,3 Bed/2(0),"1,290",17,"$120,000.00",09/11/19
"$125,000.00",4434 TUSCALOOSA ST,FORT MYERS,3 Bed/2(0),"1,056",46,"$120,000.00",10/15/19
"$123,000.00",1408 JUDDALE ST E,LEHIGH ACRES,2 Bed/2(0),"1,277",34,"$120,000.00",12/04/19
"$128,900.00",106 JASMINE RD W,LEHIGH ACRES,2 Bed/1(0),965,4,"$120,000.00",10/23/19
"$115,000.00",544 SACRAMENTO ST,NORTH FORT MYERS,2 Bed/1(0),"1,040",10,"$120,000.00",10/16/19
"$115,000.00",115 FORD AVE,LABELLE,3 Bed/2(0),"1,254",19,"$120,750.00",09/17/19
"$129,000.00",124 STETSON ST,LEHIGH ACRES,3 Bed/1(0),"1,060",8,"$121,000.00",07/15/19
"$125,000.00",3040 APACHE ST,FORT MYERS,3 Bed/1(0),"1,479",32,"$121,500.00",10/09/19
"$139,000.00",3026 NE 7TH PL,CAPE CORAL,3 Bed/2(0),"1,152",16,"$122,000.00",09/25/19
"$125,000.00",2043 CANAL ST,FORT MYERS,2 Bed/1(0),"1,008",21,"$122,000.00",11/12/19
"$122,000.00",5260 CEDARBEND DR #1,FORT MYERS,3 Bed/2(1),"1,371",9,"$122,000.00",09/18/19
"$137,900.00",724 SW 8TH TER,CAPE CORAL,3 Bed/2(0),"1,148",34,"$122,500.00",09/06/19
"$129,000.00",907 BOUGAINVILLEA RD E,LEHIGH ACRES,3 Bed/2(0),"1,289",132,"$123,000.00",12/16/19
"$123,000.00",14 GLENMONT DR W,NORTH FORT MYERS,3 Bed/1(0),"1,200",133,"$123,000.00",12/05/19
"$140,000.00",1116 SW 9TH AVE,CAPE CORAL,3 Bed/2(0),"1,232",11,"$123,700.00",10/21/19
"$146,000.00",1354 SEVILLE WAY,FORT MYERS,3 Bed/2(0),"1,035",11,"$123,900.00",09/19/19
"$165,000.00",1532 PALOMA DR,FORT MYERS,2+Den/1(1),"1,299",62,"$124,000.00",10/11/19
"$135,000.00",1504 MARKDALE ST E,LEHIGH ACRES,2 Bed/2(0),997,61,"$124,000.00",11/20/19
"$130,000.00",1134 RAMOSE ST E,LEHIGH ACRES,3 Bed/2(0),"1,597",24,"$124,500.00",08/12/19
"$124,900.00",2947 GRAND AVE,FORT MYERS,3 Bed/2(0),"1,568",20,"$124,900.00",10/30/19
"$124,900.00",370 KINGSTON DR E,FORT MYERS,3 Bed/2(0),"1,578",11,"$124,900.00",10/30/19
"$124,900.00",348 CRESTWOOD AVE,LEHIGH ACRES,2 Bed/1(0),"1,189",11,"$124,900.00",08/30/19
"$125,000.00",1413 NE 1ST PL,CAPE CORAL,4 Bed/2(0),"1,335",3,"$125,000.00",12/23/19
"$118,000.00",3110 COUNTRY CLUB BLVD,CAPE CORAL,3 Bed/2(0),"1,226",4,"$125,000.00",11/04/19
"$114,500.00",3035 DUNBAR AVE,FORT MYERS,3 Bed/2(0),884,71,"$125,000.00",09/27/19
"$124,999.00",3711 15TH ST W,LEHIGH ACRES,3 Bed/2(0),928,18,"$125,000.00",12/19/19
"$130,000.00",416 HIGHLAND AVE,LEHIGH ACRES,3 Bed/2(0),"1,260",0,"$125,000.00",10/09/19
"$125,000.00",512 YORK RD,LEHIGH ACRES,2 Bed/1(0),997,78,"$125,000.00",10/21/19
"$129,900.00",30 ABACO ST,LEHIGH ACRES,3 Bed/1(0),"1,208",32,"$125,000.00",09/10/19
"$129,900.00",12331 FOURTH ST,FORT MYERS,2 Bed/2(0),"1,322",2,"$126,000.00",11/27/19
"$139,000.00",134 MCARTHUR BLVD,LEHIGH ACRES,3 Bed/2(0),"1,472",76,"$126,000.00",11/26/19
"$129,900.00",1703 CLAYTON AVE,LEHIGH ACRES,2 Bed/1(0),984,14,"$126,000.00",09/27/19
"$131,000.00",1769 GLENWAY CT,FORT MYERS,4 Bed/2(0),"1,100",6,"$127,000.00",11/11/19
"$145,000.00",1828 SE 14TH TER,CAPE CORAL,2 Bed/2(0),"1,174",3,"$127,501.00",09/20/19
"$134,900.00",425 MUSKEGON AVE,FORT MYERS,3 Bed/2(0),"1,100",10,"$128,000.00",08/13/19
"$132,000.00",4046 EDGEWATER CIR S #0,LABELLE,3 Bed/2(0),912,19,"$128,000.00",10/04/19
"$139,900.00",2810 50TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,048",8,"$128,000.00",11/27/19
"$110,000.00",1805 SUNNILAND BLVD,LEHIGH ACRES,3 Bed/2(0),"1,561",13,"$128,374.00",08/06/19
"$150,000.00",1032 NE 15TH ST,CAPE CORAL,3 Bed/2(0),"1,394",64,"$128,623.00",09/27/19
"$128,900.00",123 TEXAS RD,LEHIGH ACRES,2 Bed/1(0),"1,008",4,"$128,900.00",08/19/19
"$131,000.00",18450 ORANGECREST CT,LEHIGH ACRES,2 Bed/2(0),"1,166",4,"$129,000.00",12/12/19
"$130,000.00",3681 SCHEFFLERA DR,NORTH FORT MYERS,2+Den/2(0),"1,209",15,"$129,500.00",10/01/19
"$129,900.00",2118 PINEVIEW RD,FORT MYERS,3+Den/2(0),"1,050",52,"$129,900.00",11/07/19
"$129,900.00",118 FLORIDA RD,LEHIGH ACRES,2 Bed/1(0),"1,008",3,"$129,900.00",11/15/19
"$137,500.00",344 NE 11TH ST,CAPE CORAL,3 Bed/2(0),"1,138",6,"$130,000.00",12/30/19
"$140,000.00",4421 SW 15TH PL,CAPE CORAL,3 Bed/2(0),"1,144",43,"$130,000.00",10/25/19
"$145,000.00",1833 NE 21ST ST,CAPE CORAL,3 Bed/2(0),"1,144",28,"$130,000.00",09/03/19
"$134,900.00",235 SW 42ND ST,CAPE CORAL,3 Bed/2(0),"1,408",6,"$130,000.00",07/19/19
"$139,900.00",1908 PAULDO ST,FORT MYERS,3 Bed/2(0),"1,275",12,"$130,000.00",11/15/19
"$141,900.00",4460 LAGG AVE,FORT MYERS,3 Bed/2(0),"1,226",4,"$130,000.00",11/26/19
"$138,000.00",2223 MAPLE AVE,FORT MYERS,3 Bed/1(1),"1,569",57,"$130,000.00",10/31/19
"$139,900.00",4020 E SUNFLOWER CIR,LABELLE,3 Bed/2(0),"1,100",4,"$130,000.00",10/11/19
"$175,000.00",2703 2ND ST SW,LEHIGH ACRES,3 Bed/2(0),"1,574",38,"$130,000.00",12/30/19
"$139,900.00",507 JEFFERSON DR,LEHIGH ACRES,2 Bed/2(0),"1,092",26,"$130,000.00",08/13/19
"$130,000.00",1081 18TH AVE NE,NAPLES,1 Bed/1(0),"1,008",34,"$130,000.00",11/05/19
"$135,000.00",175 KINGS HWY #A4,PUNTA GORDA,3 Bed/2(0),"1,413",10,"$130,000.00",10/31/19
"$131,900.00",163 FREMONT AVE S,LEHIGH ACRES,3+Den/2(0),"1,496",39,"$131,000.00",08/20/19
"$126,900.00",711 ZEBU PL,FORT MYERS,3 Bed/2(0),"1,577",16,"$131,200.00",08/09/19
"$139,950.00",604 NW 30TH TER,CAPE CORAL,3 Bed/2(0),"1,184",9,"$131,500.00",10/18/19
"$132,900.00",701 ADAMS AVE,LEHIGH ACRES,3 Bed/2(0),"1,060",15,"$131,700.00",12/09/19
"$154,900.00",1410 NE 10TH TER,CAPE CORAL,3+Den/2(0),"1,810",0,"$132,000.00",12/20/19
"$134,000.00",445 HUNTING CLUB AVE,CLEWISTON,3 Bed/2(0),"1,456",13,"$132,000.00",12/30/19
"$130,000.00",3025 APACHE ST,FORT MYERS,3 Bed/2(0),"1,017",18,"$132,000.00",12/10/19
"$129,900.00",2842 NANCY DR,LEHIGH ACRES,3 Bed/2(0),"1,050",3,"$132,000.00",09/27/19
"$134,900.00",13343 2ND ST,FORT MYERS,3 Bed/2(0),"1,238",1,"$132,400.00",12/20/19
"$139,999.00",310 HOLLYWOOD ST,LEHIGH ACRES,2 Bed/2(0),"1,171",48,"$132,500.00",10/25/19
"$148,900.00",705 NED AVE,LEHIGH ACRES,4 Bed/2(0),"1,441",77,"$132,900.00",09/30/19
"$136,500.00",2455 DUPREE ST,FORT MYERS,4 Bed/2(0),"1,088",57,"$133,000.00",12/30/19
"$140,000.00",3806 LEE BLVD,LEHIGH ACRES,3 Bed/2(0),"1,604",13,"$133,000.00",12/18/19
"$129,000.00",510 JEFFERSON DR,LEHIGH ACRES,3 Bed/1(1),"1,423",47,"$133,000.00",10/30/19
"$137,500.00",211 S LAKE DR,LEHIGH ACRES,3 Bed/2(0),"1,592",5,"$133,500.00",10/24/19
"$144,600.00",8677 ATHENA CT,LEHIGH ACRES,2 Bed/2(1),"1,445",27,"$134,000.00",10/17/19
