List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
"$167,500.00",3413 10TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,287",80,"$170,500.00",12/04/19
"$179,999.00",2715 SW 1ST PL,CAPE CORAL,3 Bed/2(0),"1,283",7,"$171,000.00",10/10/19
"$174,900.00",2504 SE 12TH PL,CAPE CORAL,2 Bed/2(0),"1,190",2,"$171,000.00",08/21/19
"$169,900.00",342 NE 23RD ST,CAPE CORAL,3 Bed/2(0),"1,272",5,"$171,000.00",07/30/19
"$169,900.00",3508 SE 3RD AVE,CAPE CORAL,2 Bed/2(0),"1,140",25,"$171,000.00",08/27/19
"$169,900.00",1228 SUMMA BLVD,LEHIGH ACRES,3 Bed/2(0),"1,501",6,"$171,000.00",12/30/19
"$159,900.00",206 MCARTHUR AVE,LEHIGH ACRES,3 Bed/2(1),"2,382",3,"$171,000.00",08/29/19
"$179,000.00",150 VIEWPOINT DR,LEHIGH ACRES,3 Bed/2(0),"1,405",113,"$171,000.00",10/08/19
"$179,500.00",3100 E 6TH ST,LEHIGH ACRES,2 Bed/2(0),955,47,"$171,500.00",10/04/19
"$169,990.00",1348 NW 15TH AVE,CAPE CORAL,3 Bed/2(0),"1,285",5,"$171,865.00",10/30/19
"$171,900.00",623 NE 1ST PL,CAPE CORAL,3 Bed/2(0),"1,348",30,"$171,900.00",12/03/19
"$184,000.00",1113 NW 10TH AVE,CAPE CORAL,3+Den/2(0),"1,458",79,"$172,000.00",12/16/19
"$177,900.00",613 SW 4TH TER,CAPE CORAL,3 Bed/2(0),"1,212",44,"$172,000.00",11/07/19
"$174,900.00",228 NW 29TH AVE,CAPE CORAL,3 Bed/2(0),"1,473",99,"$172,000.00",11/21/19
"$170,000.00",13525 CARIBBEAN BLVD,FORT MYERS,3 Bed/2(0),"1,510",2,"$172,000.00",12/31/19
"$185,000.00",1422 ROSADA WAY,FORT MYERS,2 Bed/2(0),"1,016",3,"$172,000.00",08/02/19
"$169,900.00",3009 48TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,347",18,"$172,000.00",12/30/19
"$175,000.00",3708 10TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,273",5,"$172,000.00",12/18/19
"$179,900.00",103 NACELLE CT,LEHIGH ACRES,3 Bed/2(0),"1,408",22,"$172,000.00",10/21/19
"$174,900.00",2922 7TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,455",4,"$172,000.00",09/11/19
"$172,000.00",626 AMES ST E,LEHIGH ACRES,3 Bed/2(0),"1,476",4,"$172,000.00",08/02/19
"$172,000.00",3509 67TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,458",6,"$172,000.00",07/10/19
"$167,500.00",912 NE 19TH ST,CAPE CORAL,3 Bed/2(0),"1,205",13,"$172,500.00",09/27/19
"$165,000.00",2804 18TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,418",102,"$172,500.00",12/05/19
"$169,999.00",2604 4TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,458",112,"$172,500.00",11/05/19
"$179,900.00",4421 SAINT CLAIR AVE W,NORTH FORT MYERS,3 Bed/2(0),"1,287",13,"$172,500.00",10/22/19
"$174,900.00",307 WELLS AVE,LEHIGH ACRES,4 Bed/2(0),"1,564",7,"$172,900.00",09/30/19
"$169,990.00",410 NW 21ST TER,CAPE CORAL,3 Bed/2(0),"1,285",3,"$172,990.00",12/27/19
"$169,990.00",1132 NW 20TH PL,CAPE CORAL,3 Bed/2(0),"1,285",2,"$172,990.00",12/06/19
"$175,000.00",1928 HANCOCK BRIDGE PKY,CAPE CORAL,3 Bed/2(0),"1,352",106,"$173,000.00",11/20/19
"$180,000.00",4580 VARSITY CIR,LEHIGH ACRES,3 Bed/2(0),"1,459",18,"$173,000.00",12/20/19
"$189,900.00",4305 DOUGLAS LN,LEHIGH ACRES,3+Den/2(0),"1,880",5,"$173,000.00",11/21/19
"$169,900.00",1025 KELLOGG ST E,LEHIGH ACRES,3 Bed/2(0),"1,408",11,"$173,000.00",07/23/19
"$185,000.00",1036 CAMDEN ST E,LEHIGH ACRES,4 Bed/2(0),"1,819",3,"$173,500.00",10/31/19
"$179,900.00",1425 CHARLES RD,FORT MYERS,2+Den/1(0),"1,243",15,"$173,940.00",07/26/19
"$173,990.00",2502 NE 7TH AVE,CAPE CORAL,3 Bed/2(0),"1,284",36,"$173,990.00",09/27/19
"$184,900.00",1621 SW 27TH TER,CAPE CORAL,3 Bed/2(0),"1,352",60,"$174,000.00",11/25/19
"$175,000.00",1117 NW 21ST AVE,CAPE CORAL,3 Bed/2(0),"1,408",57,"$174,000.00",12/05/19
"$169,990.00",332 NW 24TH TER,CAPE CORAL,3 Bed/2(0),"1,285",3,"$174,405.00",11/01/19
"$179,900.00",1420 SE 12TH ST,CAPE CORAL,3 Bed/2(0),"1,300",51,"$174,500.00",10/31/19
"$174,900.00",818 NE 16TH TER,CAPE CORAL,3 Bed/2(0),"1,205",4,"$174,900.00",07/31/19
"$189,900.00",5113 DEER RUN RD,IMMOKALEE,3 Bed/1(0),"1,008",37,"$174,900.00",12/23/19
"$169,000.00",1214 SE 33RD TER,CAPE CORAL,2 Bed/2(0),"1,065",5,"$175,000.00",12/18/19
"$175,290.00",1117 NW 12TH TER,CAPE CORAL,3 Bed/2(0),"1,285",3,"$175,000.00",12/18/19
"$179,900.00",1705 NW 1ST PL,CAPE CORAL,3 Bed/2(0),"1,117",7,"$175,000.00",11/22/19
"$184,000.00",1202 NE 15TH TER,CAPE CORAL,3 Bed/2(0),"1,292",10,"$175,000.00",11/26/19
"$182,000.00",3636 COUNTRY CLUB BLVD,CAPE CORAL,3 Bed/2(0),"1,435",47,"$175,000.00",11/27/19
"$179,000.00",3512 SE 1ST AVE,CAPE CORAL,2 Bed/2(0),"1,170",52,"$175,000.00",11/22/19
"$175,000.00",2809 NE 7TH AVE,CAPE CORAL,3 Bed/2(0),"1,144",3,"$175,000.00",09/18/19
"$175,000.00",2821 NW 8TH PL,CAPE CORAL,3 Bed/2(0),"1,785",11,"$175,000.00",09/17/19
"$185,900.00",310 NE 13TH TER,CAPE CORAL,3 Bed/2(0),"1,418",19,"$175,000.00",09/04/19
"$177,900.00",2242 NW 8TH TER,CAPE CORAL,3 Bed/2(0),"1,574",52,"$175,000.00",10/02/19
"$179,900.00",3610 NE 14TH PL,CAPE CORAL,3 Bed/2(0),"1,574",23,"$175,000.00",09/30/19
"$180,000.00",2201 NE 6TH AVE,CAPE CORAL,3 Bed/2(0),"1,422",12,"$175,000.00",08/23/19
"$182,000.00",622 SE 10TH PL,CAPE CORAL,3 Bed/2(0),"1,714",12,"$175,000.00",09/10/19
"$174,900.00",2107 NW 3RD AVE,CAPE CORAL,3 Bed/2(0),"1,417",41,"$175,000.00",09/20/19
"$185,000.00",2109 ACADEMY BLVD,CAPE CORAL,3 Bed/2(0),"1,226",16,"$175,000.00",08/13/19
"$175,000.00",1710 SE 29TH LN,CAPE CORAL,3 Bed/2(0),"1,517",4,"$175,000.00",07/12/19
"$175,000.00",313 SAN LUIZ AVE,CLEWISTON,4 Bed/4(0),"1,874",4,"$175,000.00",12/23/19
"$209,900.00",3834 HOPEVALE ST,FORT MYERS,3 Bed/2(0),"1,408",30,"$175,000.00",11/19/19
"$199,900.00",1155 BUSH ST E,IMMOKALEE,3 Bed/2(0),"1,792",0,"$175,000.00",09/13/19
"$189,900.00",2504 51ST ST SW,LEHIGH ACRES,3 Bed/2(0),"1,540",8,"$175,000.00",12/30/19
"$174,900.00",2907 6TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,243",28,"$175,000.00",12/26/19
"$175,000.00",526 POTTER AVE S,LEHIGH ACRES,3+Den/2(0),"1,790",0,"$175,000.00",12/19/19
"$210,000.00",1303 FARMDALE ST,LEHIGH ACRES,2 Bed/2(0),"1,345",28,"$175,000.00",10/02/19
"$174,999.00",1572 GRETCHEN AVE S,LEHIGH ACRES,3 Bed/2(0),"1,408",44,"$175,000.00",11/22/19
"$184,500.00",3413 18TH ST W,LEHIGH ACRES,4 Bed/2(0),"1,502",11,"$175,000.00",09/06/19
"$174,900.00",522 BRONX AVE,LEHIGH ACRES,4 Bed/2(0),"1,620",58,"$175,000.00",10/21/19
"$179,000.00",1303 WASHINGTON AVE,LEHIGH ACRES,3 Bed/2(0),"2,154",73,"$175,000.00",10/02/19
"$175,000.00",3814 8TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,408",7,"$175,000.00",08/20/19
"$178,900.00",728 WORTH AVE,LEHIGH ACRES,3 Bed/2(0),"1,574",65,"$175,000.00",09/20/19
"$249,000.00",3195 CONNECTICUT AVE,NAPLES,3 Bed/1(1),"1,116",49,"$175,000.00",12/20/19
"$180,000.00",24 CREEK CIR,NAPLES,3 Bed/2(0),"1,237",3,"$175,000.00",09/30/19
"$155,000.00",5318 TRAMMEL ST,NAPLES,3 Bed/1(0),"1,064",2,"$175,000.00",08/19/19
"$199,900.00",34 ESTATE DR,NORTH FORT MYERS,2 Bed/2(0),"1,123",18,"$175,000.00",12/06/19
"$175,000.00",5710 LONGLEAF DR,NORTH FORT MYERS,2 Bed/2(0),"1,198",26,"$175,000.00",10/14/19
"$174,900.00",17887 DRACENA CIR,NORTH FORT MYERS,2 Bed/2(0),"1,442",8,"$175,000.00",09/12/19
"$175,000.00",1773 41ST TER SW,NAPLES,2 Bed/2(0),"1,047",4,"$175,001.00",09/10/19
"$174,900.00",312 SE 2ND TER,CAPE CORAL,3 Bed/2(0),"1,500",0,"$175,200.00",08/30/19
"$189,000.00",5511 AVENUE D,BOKEELIA,2 Bed/2(0),"1,217",11,"$175,500.00",09/19/19
"$175,990.00",1332 NE 9TH PL,CAPE CORAL,3 Bed/2(0),"1,552",14,"$175,990.00",08/30/19
"$174,990.00",716 SE 11TH AVE,CAPE CORAL,3 Bed/2(0),"1,205",5,"$176,000.00",12/26/19
"$189,900.00",1302 SW 14TH TER,CAPE CORAL,3 Bed/2(0),"1,136",51,"$176,000.00",11/12/19
"$184,000.00",1228 GENOA AVE,FORT MYERS,3 Bed/2(0),"1,495",25,"$176,000.00",11/19/19
"$179,900.00",1647 BRAMAN AVE,FORT MYERS,2 Bed/1(0),"1,303",10,"$176,000.00",10/04/19
"$189,900.00",15586 SPRING LINE LN,FORT MYERS,3 Bed/2(0),"1,486",24,"$176,000.00",09/03/19
"$180,000.00",344 LILLON AVE S,LEHIGH ACRES,3 Bed/2(0),"1,401",178,"$176,000.00",12/06/19
"$179,900.00",4041 COUNTRY CLUB BLVD,CAPE CORAL,3 Bed/2(0),"1,168",8,"$176,500.00",09/30/19
"$175,000.00",1606 NE 35TH ST,CAPE CORAL,3 Bed/2(0),"1,458",27,"$176,500.00",09/20/19
"$174,900.00",1207 SE 33RD ST,CAPE CORAL,3 Bed/2(0),"1,689",31,"$176,900.00",08/19/19
"$176,990.00",2917 NE 4TH AVE,CAPE CORAL,3 Bed/2(0),"1,552",5,"$176,990.00",08/27/19
"$179,555.00",2121 MCARTHUR AVE,ALVA,4 Bed/2(0),"1,811",28,"$177,000.00",08/21/19
"$177,000.00",702 SW 27TH TER,CAPE CORAL,3 Bed/2(0),"1,119",32,"$177,000.00",12/18/19
"$169,900.00",706 SW 29TH ST,CAPE CORAL,3 Bed/2(0),"1,272",31,"$177,000.00",08/09/19
"$180,000.00",210 LINCOLN AVE,LEHIGH ACRES,3 Bed/2(0),"1,452",25,"$177,000.00",12/27/19
"$184,900.00",3910 18TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,573",61,"$177,000.00",12/18/19
"$187,000.00",4515 LAKE HEATHER CIR,ST. JAMES CITY,2 Bed/1(1),999,6,"$177,000.00",09/27/19
"$171,990.00",3902 18TH ST W,LEHIGH ACRES,3 Bed/1(0),"1,400",0,"$177,490.00",12/27/19
