,,List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
,,"$54,900.00",840 KISSIMMEE AVE,LABELLE,3 Bed/1(0),912,94,"$30,000.00",11/30/20
,,"$59,900.00",333 SAN BERNARDINO ST,NORTH FORT MYERS,2 Bed/1(0),740,1,"$50,000.00",11/11/20
,,"$59,900.00",681 SE ST. JOHN ST,LAKE CITY,2 Bed/2(0),840,4,"$59,900.00",10/15/20
,,"$68,000.00",206 MARIA ST,FORT MYERS,3 Bed/1(0),841,25,"$60,000.00",11/11/20
,,"$70,000.00",4112 20TH ST SW,LEHIGH ACRES,2 Bed/2(0),"1,200",1,"$63,000.00",11/30/20
,,"$69,500.00",10454 LAKEPORT CT,LEHIGH ACRES,1 Bed/1(0),851,11,"$64,000.00",09/08/20
,,"$65,000.00",6 AZTEC LILY LN,LEHIGH ACRES,2 Bed/2(0),816,0,"$65,000.00",10/07/20
,,"$80,000.00",3206 13TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,861",0,"$70,000.00",11/23/20
,,"$75,400.00",5060 WES MAR RD,FORT MYERS,4 Bed/2(0),"1,444",0,"$74,500.00",09/21/20
,,"$89,900.00",3808 SEMINOLE AVE,FORT MYERS,2 Bed/1(0),"1,016",40,"$75,000.00",11/27/20
,,"$85,000.00",2800 40TH ST SW,LEHIGH ACRES,2 Bed/1(0),864,3,"$75,000.00",09/10/20
,,"$75,000.00",4481 ARMEDA AVE,FORT MYERS,3 Bed/2(0),"1,424",3,"$80,000.00",10/09/20
,,"$89,900.00",37 ANDORA ST,LEHIGH ACRES,2 Bed/1(0),"1,064",21,"$80,000.00",12/28/20
,,"$80,000.00",1100 HARPER LN,MOORE HAVEN,2 Bed/2(0),850,--,"$80,000.00",07/24/20
,,"$92,500.00",3780 EDISON AVE,FORT MYERS,3 Bed/2(0),"1,120",2,"$82,500.00",10/28/20
,,"$89,900.00",257 WHITTIER AVE,NORTH FORT MYERS,2 Bed/1(0),"1,008",2,"$82,500.00",09/15/20
,,"$83,000.00",639 E ALVERDEZ AVE,CLEWISTON,3 Bed/1(0),960,4,"$83,000.00",09/08/20
,,"$88,300.00",2336 VICTORIA AVE,FORT MYERS,3 Bed/1(0),900,6,"$85,000.00",09/14/20
,,"$79,900.00",712 EDMUND ST,PUNTA GORDA,3 Bed/2(0),"1,422",4,"$85,000.00",09/09/20
,,"$85,000.00",2251 E 8TH ST,LEHIGH ACRES,2 Bed/1(0),916,2,"$85,200.00",08/21/20
,,"$110,000.00",1117 ROSE AVE,FORT MYERS,2+Den/2(0),"1,128",25,"$87,500.00",09/28/20
,,"$119,900.00",622 FAIRVIEW AVE,FORT MYERS,2 Bed/2(0),"1,136",24,"$90,000.00",11/17/20
,,"$89,900.00",4908 JEANNIE LN,FORT MYERS,2 Bed/1(0),"1,102",2,"$92,000.00",10/14/20
,,"$115,000.00",111 INDIANA PL,LEHIGH ACRES,2 Bed/1(0),839,6,"$92,000.00",12/30/20
,,"$94,900.00",3103 SAINT CHARLES ST,FORT MYERS,2 Bed/1(0),696,54,"$94,000.00",12/24/20
,,"$99,000.00",512 MORNINGSIDE DR,LAKE PLACID,4 Bed/2(0),"1,701",34,"$95,000.00",12/10/20
,,"$114,900.00",2204 BRANDON ST,FORT MYERS,3 Bed/2(0),958,1,"$97,500.00",12/08/20
,,"$99,000.00",4466 ARMEDA AVE,FORT MYERS,3 Bed/2(0),"1,596",16,"$99,000.00",11/19/20
,,"$109,900.00",10712 GUAVATREE CT,LEHIGH ACRES,2 Bed/1(0),946,6,"$99,000.00",09/01/20
,,"$99,900.00",10437 NEW BEDFORD CT,LEHIGH ACRES,2 Bed/2(0),"1,004",9,"$99,900.00",11/02/20
,,"$97,000.00",10483 BEACON SQUARE CIR,LEHIGH ACRES,2 Bed/2(0),"1,140",40,"$100,000.00",11/18/20
,,"$104,500.00",1004 POLK ST,FORT MYERS,2 Bed/1(0),768,10,"$104,500.00",10/30/20
,,"$104,900.00",4108 24TH ST SW,LEHIGH ACRES,2 Bed/1(0),640,14,"$104,900.00",12/04/20
,,"$150,000.00",833 NE 6TH PL,CAPE CORAL,3 Bed/2(0),"1,404",0,"$105,000.00",10/30/20
,,"$110,000.00",710 LEELAND HEIGHTS BLVD E,LEHIGH ACRES,3 Bed/2(0),"1,321",2,"$105,000.00",10/14/20
,,"$89,900.00",211 OKLAHOMA AVE,FORT MYERS,2 Bed/1(0),"1,063",1,"$105,500.00",08/31/20
,,"$110,000.00",2657 JACKSON ST,FORT MYERS,2 Bed/1(0),805,70,"$106,000.00",11/24/20
,,"$107,999.00",1015 ALDERMAN ST,FORT MYERS,3 Bed/2(2),"1,165",96,"$108,000.00",12/29/20
,,"$112,500.00",374 NEW YORK DR,FORT MYERS,2 Bed/1(1),768,3,"$108,500.00",12/01/20
,,"$120,000.00",5770 CARTER RD,FORT MYERS,3 Bed/2(0),"1,152",35,"$108,500.00",10/28/20
,,"$102,900.00",2004 STEAMBOAT CIR,LABELLE,2 Bed/1(0),804,7,"$108,900.00",11/18/20
,,"$139,000.00",13610 RIVER FOREST DR,FORT MYERS,3 Bed/1(0),"1,042",6,"$109,000.00",10/26/20
,,"$109,900.00",8019 ROY DR,PUNTA GORDA,2 Bed/1(0),674,3,"$109,900.00",12/10/20
,,"$125,000.00",12 ABACO ST,LEHIGH ACRES,4 Bed/2(0),"1,219",17,"$110,000.00",10/09/20
,,"$130,000.00",901 E PENN RD,LEHIGH ACRES,3 Bed/2(0),"1,944",22,"$110,000.00",12/30/20
,,"$149,000.00",134 AURORA AVE S,LEHIGH ACRES,3 Bed/2(0),"1,053",96,"$110,000.00",12/15/20
,,"$114,000.00",1402 GARDENIA AVE,FORT MYERS,3 Bed/2(0),"1,002",36,"$111,000.00",11/20/20
,,"$112,000.00",1102 KANZA CT,LEHIGH ACRES,3 Bed/1(1),"1,225",26,"$112,000.00",10/30/20
,,"$124,900.00",444 BETHANY VILLAGE CIR,LEHIGH ACRES,2 Bed/2(0),"1,341",5,"$113,000.00",10/01/20
,,"$110,000.00",2800 NE 2ND AVE,CAPE CORAL,3 Bed/2(0),"1,269",0,"$114,000.00",10/23/20
,,"$119,900.00",4201 3RD ST W,LEHIGH ACRES,2 Bed/2(0),960,2,"$115,000.00",11/20/20
,,"$119,000.00",14968 RICHARD CT,NORTH FORT MYERS,3 Bed/2(0),"1,610",75,"$115,000.00",11/23/20
,,"$119,000.00",11317 PEPPER RD,PUNTA GORDA,1 Bed/1(0),576,6,"$117,000.00",11/18/20
,,"$119,999.00",22417 CATHERINE AVE,PORT CHARLOTTE,2 Bed/1(0),966,76,"$118,500.00",12/18/20
,,"$119,000.00",1188 PATTERSON RD,CAPE CORAL,2 Bed/1(0),740,3,"$119,000.00",12/15/20
,,"$124,900.00",317 SCHOOLSIDE DR,LEHIGH ACRES,2+Den/1(0),960,17,"$119,000.00",12/11/20
