,,List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
,,"$119,000.00",1125 GIFFORD AVE N,LEHIGH ACRES,2 Bed/1(0),937,2,"$119,000.00",10/13/20
,,"$126,500.00",3368 APACHE ST,FORT MYERS,3 Bed/1(0),"1,096",6,"$119,500.00",12/18/20
,,"$119,900.00",108 CLAYTON AVE,LEHIGH ACRES,2+Den/1(1),720,1,"$119,900.00",09/11/20
,,"$149,900.00",2401 LIPPINCOTT RD,ALVA,2+Den/1(1),836,38,"$120,000.00",12/15/20
,,"$134,900.00",800 WOODLAND BLVD,CLEWISTON,3 Bed/2(0),"1,290",15,"$120,000.00",10/09/20
,,"$125,500.00",1777 ELAN CT,FORT MYERS,3 Bed/2(0),"1,100",56,"$120,000.00",11/10/20
,,"$120,000.00",22 ANDORA ST,LEHIGH ACRES,2 Bed/1(0),920,0,"$120,000.00",12/21/20
,,"$124,900.00",1025 RIDGEWAY DR,NORTH FORT MYERS,3 Bed/2(0),"1,529",2,"$120,000.00",12/18/20
,,"$128,999.00",313 MORGAN CIR N,LEHIGH ACRES,2 Bed/1(0),720,48,"$124,000.00",12/23/20
,,"$124,900.00",1019 JOEL BLVD,LEHIGH ACRES,3 Bed/1(0),"1,456",6,"$124,000.00",11/03/20
,,"$124,900.00",4016 33RD ST SW,LEHIGH ACRES,3 Bed/2(0),984,22,"$124,900.00",10/22/20
,,"$219,000.00",11671 CHAPMAN AVE,BONITA SPRINGS,3 Bed/2(0),"1,342",5,"$125,000.00",10/08/20
,,"$139,900.00",331 ROCKLEDGE RD,FORT MYERS,2+Den/1(0),962,5,"$125,000.00",08/28/20
,,"$149,900.00",201 FIRESIDE CT,LEHIGH ACRES,2+Den/2(0),"1,347",5,"$125,000.00",09/24/20
,,"$139,000.00",8059 PACIFIC BEACH DR,FORT MYERS,2 Bed/2(1),"1,028",6,"$128,000.00",09/29/20
,,"$129,900.00",1160 OLD BRIDGE RD,NORTH FORT MYERS,3 Bed/1(0),"1,088",3,"$128,000.00",12/21/20
,,"$132,500.00",19867 FRENCHMANS CT,NORTH FORT MYERS,2 Bed/2(0),919,3,"$128,000.00",12/23/20
,,"$128,500.00",2670 JACKSON ST,FORT MYERS,3 Bed/2(1),"1,804",7,"$129,000.00",09/16/20
,,"$139,000.00",611 FLORAL LN,PORT CHARLOTTE,2+Den/1(0),950,23,"$129,000.00",12/09/20
,,"$129,000.00",1716 W CHESTNUT ST,TAMPA,2 Bed/1(0),702,18,"$129,000.00",12/02/20
,,"$130,000.00",15310 WALL DR,FORT MYERS,3 Bed/1(0),"1,144",9,"$130,000.00",12/11/20
,,"$147,500.00",23225 TINAS LN,FORT MYERS,1 Bed/1(0),500,14,"$130,000.00",10/21/20
,,"$124,000.00",19823 FRENCHMANS CT,NORTH FORT MYERS,2 Bed/2(0),"1,228",9,"$130,000.00",12/03/20
,,"$149,900.00",118 CALIFORNIA RD,LEHIGH ACRES,2 Bed/1(0),907,21,"$131,000.00",12/29/20
,,"$129,900.00",300 STEWART LN,LEHIGH ACRES,4 Bed/2(0),"1,248",4,"$134,900.00",09/29/20
,,"$139,000.00",2251 SOUTH ST,FORT MYERS,3+Den/2(0),"1,586",15,"$135,000.00",12/31/20
,,"$135,900.00",3245 DORA ST,FORT MYERS,3 Bed/2(0),"1,367",17,"$135,000.00",12/18/20
,,"$135,000.00",2251 E 8TH ST,LEHIGH ACRES,2 Bed/1(0),916,0,"$135,000.00",12/02/20
,,"$140,000.00",406 PENN RD W,LEHIGH ACRES,3 Bed/1(0),"1,092",7,"$135,000.00",09/28/20
,,"$150,000.00",905 LEELAND HEIGHTS BLVD E,LEHIGH ACRES,3 Bed/2(0),"1,238",54,"$135,000.00",10/19/20
,,"$139,900.00",1413 KIMDALE ST E,LEHIGH ACRES,2 Bed/1(1),"1,002",13,"$135,000.00",10/26/20
,,"$170,000.00",4608 DOMINION DR,NAPLES,2 Bed/1(0),792,83,"$138,000.00",12/31/20
,,"$138,900.00",33 SKIPTON CIR,FORT MYERS,3 Bed/2(0),"1,092",1,"$139,000.00",11/30/20
,,"$142,000.00",13213 CARIBBEAN BLVD,FORT MYERS,3 Bed/1(0),"1,384",0,"$139,000.00",12/10/20
,,"$145,000.00",911 HUDSON AVE,LEHIGH ACRES,3 Bed/1(1),"1,163",6,"$139,000.00",12/31/20
,,"$150,000.00",1226 EIGHTH AVE,LEHIGH ACRES,3 Bed/2(0),998,0,"$139,000.00",08/13/20
,,"$139,900.00",630 & 640 N WILLOW ST,CLEWISTON,2 Bed/1(0),720,5,"$139,900.00",11/13/20
,,"$139,900.00",209 LEELAND HEIGHTS BLVD W,LEHIGH ACRES,3 Bed/2(0),"1,116",23,"$139,900.00",12/18/20
,,"$159,000.00",1421 MARAVILLA AVE E,FORT MYERS,3 Bed/1(0),876,1,"$140,000.00",12/17/20
,,"$136,900.00",13915 2ND ST,FORT MYERS,4 Bed/1(0),"1,552",42,"$140,000.00",12/02/20
,,"$148,500.00",18481 IRIS RD,FORT MYERS,2 Bed/1(0),950,52,"$140,000.00",12/10/20
,,"$167,000.00",623 CANTON AVE,LEHIGH ACRES,3 Bed/2(0),"2,109",17,"$140,000.00",10/25/20
,,"$149,900.00",524 REDLIN ST,NORTH FORT MYERS,2 Bed/2(0),"1,504",5,"$140,060.00",11/28/20
,,"$147,900.00",3913 11TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,165",2,"$141,500.00",10/12/20
,,"$144,900.00",302 E PENN RD,LEHIGH ACRES,3 Bed/1(0),"1,108",10,"$141,500.00",10/26/20
,,"$139,899.00",21 ILLINOIS RD,LEHIGH ACRES,3 Bed/1(1),"1,076",34,"$142,000.00",11/18/20
,,"$142,500.00",240 LABELLE AVE,FORT MYERS,2+Den/2(0),"1,264",12,"$142,500.00",10/28/20
,,"$149,900.00",2702 E 2ND ST,LEHIGH ACRES,3 Bed/2(0),"1,308",7,"$142,500.00",12/14/20
,,"$130,000.00",106 SE 6TH ST,CAPE CORAL,3 Bed/2(0),"1,157",2,"$143,000.00",12/14/20
,,"$145,000.00",3631 BAHAMA DR,ROTONDA WEST,3 Bed/3(0),"1,494",12,"$143,000.00",09/08/20
,,"$144,900.00",407 CACTUS CIR,LEHIGH ACRES,2 Bed/1(0),920,3,"$144,900.00",12/22/20
,,"$153,400.00",2122 NE 24TH AVE,CAPE CORAL,3 Bed/2(0),"1,180",2,"$145,000.00",11/12/20
,,"$161,330.00",13225 THIRD ST,FORT MYERS,3 Bed/1(1),"1,449",29,"$145,000.00",11/11/20
,,"$145,000.00",12373 2ND ST,FORT MYERS,3 Bed/1(0),"1,042",8,"$145,000.00",10/09/20
,,"$150,000.00",315 EDWARD AVE,LEHIGH ACRES,2 Bed/2(0),"1,216",3,"$145,000.00",12/29/20
,,"$145,000.00",1274 SABAL GARDENS DR,NORTH FORT MYERS,2 Bed/2(0),974,0,"$145,000.00",11/10/20
,,"$149,900.00",1116 POLK ST,FORT MYERS,3 Bed/2(0),"1,008",9,"$146,000.00",12/21/20
,,"$147,500.00",4023 S EDGEWATER CIR,LABELLE,3 Bed/2(0),"1,176",19,"$147,000.00",11/05/20
,,"$149,900.00",4306 10TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,152",4,"$147,000.00",12/22/20
,,"$159,500.00",3908 35TH ST SW,LEHIGH ACRES,3 Bed/1(0),"1,144",19,"$147,000.00",12/07/20
,,"$155,000.00",18401 ORANGECREST CT,LEHIGH ACRES,2 Bed/2(0),"1,292",44,"$147,000.00",10/22/20
,,"$165,000.00",1013 NE 12TH ST,CAPE CORAL,3 Bed/2(0),"1,116",68,"$148,000.00",12/09/20
,,"$159,500.00",293 GRANADA BLVD,FORT MYERS,3 Bed/1(0),"1,044",6,"$149,000.00",10/27/20
,,"$149,000.00",1119 5TH AVE,LEHIGH ACRES,3 Bed/2(0),960,4,"$149,000.00",11/30/20
,,"$149,900.00",1423 NE 2ND AVE,CAPE CORAL,3 Bed/2(0),"1,102",3,"$149,900.00",10/20/20
,,"$149,950.00",208 REDCLIFF AVE,LEHIGH ACRES,2 Bed/1(0),"1,000",1,"$149,950.00",10/05/20
,,"$175,000.00",1204 SE 27TH ST,CAPE CORAL,3 Bed/2(0),"1,192",0,"$150,000.00",10/09/20
,,"$159,900.00",2038 EARL RD,FORT MYERS,2 Bed/1(1),"1,070",19,"$150,000.00",11/27/20
,,"$182,900.00",904 W 9TH ST,LEHIGH ACRES,3 Bed/2(0),"1,283",38,"$150,000.00",11/30/20
,,"$150,000.00",433 MORGAN CIR S,LEHIGH ACRES,2 Bed/2(0),"1,254",28,"$150,000.00",11/16/20
,,"$148,000.00",1124 RUSHMORE AVE S,LEHIGH ACRES,3 Bed/2(0),"1,226",1,"$150,000.00",10/20/20
,,"$149,900.00",3311 28TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,497",3,"$151,000.00",09/30/20
,,"$155,000.00",1171 MOODY RD,NORTH FORT MYERS,3 Bed/1(0),"1,087",3,"$151,000.00",09/09/20
,,"$145,000.00",12657 THIRD ST,FORT MYERS,3 Bed/2(0),975,10,"$151,250.00",11/09/20
,,"$149,969.00",1816 LAFAYETTE ST,FORT MYERS,2 Bed/1(0),"1,100",5,"$152,000.00",10/30/20
,,"$159,000.00",11 LEELAND HEIGHTS BLVD W,LEHIGH ACRES,3 Bed/2(0),"1,355",74,"$152,000.00",11/25/20
,,"$149,900.00",5103 2ND ST W,LEHIGH ACRES,2+Den/2(0),984,15,"$152,000.00",12/04/20
,,"$152,000.00",19843 EAGLE TRACE CT,NORTH FORT MYERS,2 Bed/2(0),"1,304",0,"$152,000.00",12/17/20
,,"$169,900.00",720 CALVIN AVE,LEHIGH ACRES,3 Bed/2(0),"1,897",4,"$152,500.00",10/30/20
,,"$155,000.00",12925 ELM CREEK CT,FORT MYERS,2+Den/2(0),"1,197",0,"$153,000.00",12/30/20
,,"$165,000.00",6004 PAULA AVE N,LEHIGH ACRES,3 Bed/2(0),"1,153",1,"$153,000.00",11/30/20
,,"$153,000.00",701 RUTH AVE N,LEHIGH ACRES,3 Bed/2(0),"1,144",2,"$153,000.00",10/13/20
,,"$149,900.00",21631 CENTER ST,ALVA,2 Bed/1(0),720,1,"$153,500.00",10/13/20
,,"$159,990.00",2746 GUAVA ST,FORT MYERS,3 Bed/2(0),"1,183",3,"$153,605.00",11/12/20
,,"$170,000.00",901 SE 35TH TER,CAPE CORAL,2 Bed/2(0),"1,517",0,"$154,000.00",09/23/20
,,"$153,900.00",4201 22ND ST SW,LEHIGH ACRES,3 Bed/2(0),"1,148",2,"$154,000.00",09/21/20
,,"$179,900.00",1921 PALACO GRANDE PKY,CAPE CORAL,2 Bed/2(0),"1,194",25,"$155,000.00",12/31/20
,,"$155,000.00",13651 CENTER AVE,CLEWISTON,1 Bed/1(0),632,3,"$155,000.00",12/30/20
,,"$175,000.00",17446 ELLIE DR,FORT MYERS,2 Bed/2(0),900,28,"$155,000.00",11/13/20
,,"$159,900.00",3001 OLEANDER DR,LAKE PLACID,3 Bed/2(0),"1,309",3,"$155,000.00",10/26/20
,,"$159,900.00",3910 35TH ST SW,LEHIGH ACRES,4 Bed/2(0),"1,370",10,"$155,000.00",12/21/20
,,"$167,000.00",1610 CHESHIRE CIR S,LEHIGH ACRES,3 Bed/2(0),"1,282",3,"$155,000.00",11/20/20
,,"$162,900.00",3216 24TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,130",9,"$155,000.00",11/09/20
,,"$155,000.00",1003 JOEL BLVD,LEHIGH ACRES,3 Bed/1(0),"1,090",34,"$155,000.00",12/04/20
,,"$159,900.00",1540 MEDFORD PL,LEHIGH ACRES,3+Den/2(0),"1,507",14,"$155,000.00",10/29/20
,,"$159,900.00",1814 LEAGUE AVE,LEHIGH ACRES,3 Bed/2(0),"1,042",4,"$155,000.00",11/13/20
,,"$160,000.00",125 APACHE ST,LEHIGH ACRES,3 Bed/2(0),"1,592",6,"$155,000.00",09/18/20
,,"$160,000.00",1207 BARNSDALE ST #1,LEHIGH ACRES,3 Bed/2(0),"1,518",13,"$155,000.00",12/07/20
,,"$174,900.00",945 POINSETTIA DR,NORTH FORT MYERS,4 Bed/1(0),"1,525",10,"$155,000.00",12/10/20
,,"$159,900.00",19670 EAGLE TRACE CT,NORTH FORT MYERS,2 Bed/2(0),"1,404",5,"$155,000.00",12/01/20
,,"$155,000.00",5981 POETRY CT,NORTH FORT MYERS,2 Bed/2(0),"1,137",1,"$155,000.00",09/30/20
,,"$155,000.00",1678 NOBLE TER,PORT CHARLOTTE,2 Bed/1(0),"1,172",8,"$155,000.00",10/28/20
,,"$154,900.00",3714 15TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,088",16,"$155,200.00",11/06/20
,,"$169,999.00",3658 SABAL SPRINGS BLVD,NORTH FORT MYERS,2 Bed/2(0),990,7,"$156,000.00",11/24/20
,,"$169,900.00",1692 LAKESIDE TER,NORTH FORT MYERS,3 Bed/2(0),"1,681",20,"$156,000.00",10/13/20
,,"$174,900.00",1906 NW 18TH TER,CAPE CORAL,3 Bed/2(0),"1,201",15,"$157,000.00",12/29/20
,,"$159,990.00",300 VERMONT WAY,LEHIGH ACRES,3 Bed/2(0),"1,180",2,"$157,000.00",11/13/20
,,"$153,900.00",37 CRESTWOOD CIR E,LEHIGH ACRES,3+Den/2(0),"1,200",3,"$157,000.00",10/01/20
,,"$157,500.00",1829 SW 40TH ST,CAPE CORAL,3 Bed/2(0),"1,090",17,"$157,500.00",11/05/20
,,"$160,000.00",8279 WREN RD,FORT MYERS,3 Bed/2(0),"1,467",0,"$157,500.00",12/22/20
,,"$158,000.00",3914 13TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,118",5,"$158,000.00",12/31/20
,,"$159,900.00",2701 PACKINGHOUSE RD,ALVA,2 Bed/1(0),"1,020",5,"$159,000.00",11/26/20
,,"$159,900.00",15 ARKANSAS RD,LEHIGH ACRES,4 Bed/1(0),"1,192",4,"$159,900.00",10/30/20
,,"$159,900.00",5605 FOXLAKE DR,NORTH FORT MYERS,2 Bed/1(1),979,24,"$159,900.00",12/14/20
,,"$169,900.00",5500 AVENUE D,BOKEELIA,2+Den/2(0),"1,210",18,"$160,000.00",10/28/20
,,"$160,000.00",481 NE 3RD PL,CAPE CORAL,3 Bed/2(0),"1,668",2,"$160,000.00",10/06/20
,,"$179,900.00",117 SE 1ST AVE,CAPE CORAL,3 Bed/2(0),"1,377",3,"$160,000.00",10/01/20
,,"$160,000.00",248 SE 47TH TER,CAPE CORAL,2 Bed/1(0),"1,315",5,"$160,000.00",09/29/20
,,"$163,000.00",5529 4TH AVE,FORT MYERS,3 Bed/2(0),"1,200",2,"$160,000.00",12/18/20
,,"$159,900.00",1715 WINKLER AVE,FORT MYERS,2 Bed/1(0),993,6,"$160,000.00",12/11/20
,,"$170,000.00",13020 5TH ST,FORT MYERS,3 Bed/1(0),"1,128",13,"$160,000.00",11/24/20
,,"$160,000.00",2443 ALDRIDGE AVE,FORT MYERS,2 Bed/1(0),"1,091",7,"$160,000.00",10/12/20
,,"$166,000.00",18462 ORANGECREST CT,LEHIGH ACRES,2+Den/2(0),"1,581",2,"$160,000.00",11/18/20
,,"$165,000.00",203 DANBY RD,LEHIGH ACRES,2+Den/2(0),"1,822",2,"$160,000.00",10/23/20
,,"$169,900.00",1401 E 7TH ST,LEHIGH ACRES,2 Bed/2(0),"1,146",3,"$160,000.00",10/31/20
,,"$159,900.00",1527 LINDALE CIR,LEHIGH ACRES,2 Bed/1(0),"1,011",3,"$160,000.00",11/05/20
,,"$159,999.00",912 SUNNILAND BLVD,LEHIGH ACRES,3 Bed/2(0),"1,144",3,"$160,000.00",11/25/20
,,"$165,500.00",4303 13TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,336",1,"$160,000.00",10/14/20
,,"$164,900.00",3100 3RD ST SW,LEHIGH ACRES,3 Bed/2(0),"1,769",21,"$160,000.00",10/16/20
,,"$215,000.00",116 GRANDVIEW CIR,LEHIGH ACRES,3+Den/2(0),"2,784",51,"$160,000.00",11/06/20
,,"$164,900.00",2372 LAKEVILLE DR,NORTH FORT MYERS,3 Bed/2(0),"1,438",3,"$160,000.00",11/06/20
,,"$159,900.00",1376 EVALENA LN,NORTH FORT MYERS,3 Bed/2(0),"1,176",14,"$160,000.00",09/25/20
,,"$165,000.00",215 CHALMER DR,NORTH FORT MYERS,2 Bed/2(0),"1,016",2,"$160,000.00",08/27/20
,,"$149,900.00",20996 LAWSON AVE,PORT CHARLOTTE,3 Bed/2(0),"1,504",1,"$160,000.00",12/11/20
,,"$159,900.00",3095 PINETREE ST,PORT CHARLOTTE,2 Bed/1(0),"1,150",18,"$160,000.00",11/30/20
,,"$200,000.00",201 PALMETTO DR NE,PORT CHARLOTTE,3 Bed/3(0),"2,046",14,"$160,000.00",11/20/20
,,"$160,000.00",4324 13TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,133",2,"$160,700.00",10/28/20
,,"$169,900.00",865 JARMILLA LN,FORT MYERS,3 Bed/2(0),"1,276",4,"$161,000.00",12/11/20
,,"$157,000.00",1401 NE 6TH PL,CAPE CORAL,3 Bed/2(0),"1,088",4,"$162,000.00",10/26/20
,,"$165,000.00",2232 DAVIS BLVD,FORT MYERS,3 Bed/1(0),"1,014",5,"$162,000.00",12/30/20
,,"$163,900.00",312 OHIO RD,LEHIGH ACRES,3 Bed/2(0),"1,439",3,"$162,000.00",10/16/20
,,"$165,000.00",121 E 3RD ST,LEHIGH ACRES,4 Bed/2(0),"1,446",3,"$162,000.00",11/10/20
,,"$170,000.00",3801 SABAL SPRINGS BLVD,NORTH FORT MYERS,2 Bed/2(0),"1,310",36,"$162,000.00",12/11/20
,,"$165,000.00",2205 LOTUS RD,FORT MYERS,3 Bed/2(0),"1,222",4,"$163,000.00",09/11/20
,,"$163,000.00",156 GIBSON ST,FORT MYERS,3+Den/2(0),"1,144",1,"$163,000.00",10/08/20
,,"$169,000.00",3311 14TH ST SW,LEHIGH ACRES,4 Bed/2(0),"1,480",29,"$163,000.00",10/13/20
,,"$163,000.00",1574 IXORA DR,NORTH FORT MYERS,3 Bed/1(0),999,49,"$163,000.00",12/09/20
,,"$159,900.00",1849 LAVONIA LN,NORTH FORT MYERS,3 Bed/2(0),"1,094",6,"$163,000.00",09/11/20
,,"$164,899.00",1704 N DEWITT AVE,LEHIGH ACRES,3 Bed/2(0),"1,129",2,"$164,000.00",12/02/20
,,"$164,800.00",1413 NW 10TH TER,CAPE CORAL,3 Bed/2(0),"1,272",6,"$164,800.00",12/15/20
,,"$165,000.00",1128 SE 29TH TER,CAPE CORAL,3 Bed/2(0),"1,534",0,"$165,000.00",12/04/20
,,"$169,000.00",2918 SW 11TH PL,CAPE CORAL,3 Bed/2(0),"1,119",7,"$165,000.00",12/04/20
,,"$165,000.00",528 TROPICANA PKY W,CAPE CORAL,3 Bed/2(0),"1,148",1,"$165,000.00",12/15/20
,,"$185,000.00",1502 NE 3RD ST,CAPE CORAL,2+Den/2(0),"1,097",4,"$165,000.00",10/26/20
,,"$165,000.00",9283 SAN CARLOS BLVD,FORT MYERS,2 Bed/2(0),972,5,"$165,000.00",12/14/20
,,"$179,900.00",5187 RICHMOND AVE,FORT MYERS,3+Den/2(0),"1,344",38,"$165,000.00",12/21/20
,,"$174,900.00",13820 THIRD ST,FORT MYERS,2+Den/1(0),"1,020",4,"$165,000.00",10/27/20
,,"$165,000.00",4751 ZANA DR,FORT MYERS,3 Bed/2(0),"1,480",6,"$165,000.00",10/13/20
,,"$160,000.00",4040 S EDGEWATER CIR,LABELLE,3 Bed/2(0),"1,176",0,"$165,000.00",11/20/20
,,"$165,000.00",900 COOLIDGE AVE,LEHIGH ACRES,2+Den/2(0),"1,124",2,"$165,000.00",12/04/20
,,"$169,000.00",10670 JACATREE CT,LEHIGH ACRES,2 Bed/2(0),"1,024",28,"$165,000.00",12/23/20
,,"$159,900.00",14 MCKINLEY AVE,LEHIGH ACRES,2 Bed/2(0),"1,196",7,"$165,000.00",12/14/20
,,"$165,000.00",402 GREENWOOD AVE,LEHIGH ACRES,3 Bed/2(0),"1,630",0,"$165,000.00",11/12/20
,,"$164,900.00",2809 7TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,089",14,"$165,000.00",11/02/20
,,"$159,900.00",1171 MOODY RD,NORTH FORT MYERS,3 Bed/1(0),"1,087",7,"$165,000.00",12/29/20
,,"$165,000.00",20009 SANCRAFT AVE,PORT CHARLOTTE,3 Bed/2(0),"1,038",43,"$165,000.00",12/15/20
,,"$175,000.00",3801 PALM DR,PUNTA GORDA,2 Bed/2(0),"1,327",4,"$165,000.00",12/18/20
,,"$174,900.00",116 JAYSIDE LN,LEHIGH ACRES,3 Bed/2(0),"1,334",17,"$165,900.00",10/22/20
